couple_id,person1_age,person2_age,age_difference,relationship_years_before_marriage,education_level,person1_monthly_income,person2_monthly_income,financial_stability_score,communication_score,conflict_frequency_per_month,family_support_score,children_count,compatibility_score,marriage_type,marriage_duration_years
30,29,26,3,4,1,46417,90193,7,6,10,7,4,9,0,23.7
31,33,39,6,3,3,29635,104901,7,1,6,6,3,2,1,14.7
32,24,30,6,8,3,125057,54753,7,5,4,4,3,7,0,21.4
33,40,39,1,4,4,18106,51829,5,4,13,10,4,6,1,18.7
34,37,36,1,2,1,92392,79561,10,6,2,4,2,4,0,24.9
35,25,21,4,0,2,142554,92120,2,8,13,10,1,7,1,18.9
36,21,24,3,6,2,64107,117396,9,8,1,9,1,2,1,25.9
37,25,35,10,8,5,101177,110992,8,10,13,9,3,3,1,21.0
38,29,37,8,7,2,89984,69654,2,5,7,5,2,6,0,20.4
39,25,25,0,3,4,58056,104591,4,2,13,7,2,9,1,18.6
40,34,33,1,0,5,117714,74518,1,6,9,7,3,9,0,23.0
41,36,28,8,4,4,145308,15804,7,6,12,3,3,3,0,20.8
42,21,23,2,6,2,139031,35819,1,5,12,6,1,8,1,17.4
43,31,33,2,4,4,84131,121433,2,8,0,9,0,6,0,22.1
44,22,21,1,3,2,23342,93439,3,4,4,8,0,10,0,18.4
45,35,29,6,5,2,48024,113946,3,5,3,10,0,5,1,18.2
46,23,39,16,3,1,97058,123449,10,2,1,6,4,7,1,24.9
47,23,37,14,5,1,128115,119784,8,2,13,6,3,3,1,17.2
48,29,40,11,8,4,139863,69091,10,5,10,4,0,5,1,25.1
49,28,35,7,6,3,25523,76789,6,3,15,4,2,5,1,16.1
50,29,38,9,0,5,68084,23221,4,7,15,9,1,8,1,23.4
51,35,21,14,1,3,76090,65005,4,5,11,8,4,9,1,16.3
52,31,32,1,7,3,98379,44951,4,2,6,6,0,9,0,23.7
53,27,27,0,7,3,92186,25176,4,5,7,6,1,5,0,20.0
54,22,22,0,8,3,51103,95606,8,2,0,10,2,8,1,26.2
55,35,31,4,2,1,84185,124947,8,2,2,7,3,2,0,21.7
56,30,23,7,3,1,127097,91471,10,10,7,9,3,8,1,32.5
57,30,39,9,6,3,33789,91905,2,4,6,5,0,3,0,15.9
58,21,34,13,7,5,141184,50175,1,4,9,5,3,2,0,15.1
59,29,39,10,3,4,48087,83376,4,3,8,3,0,1,0,13.1
60,39,30,9,7,1,140866,102266,5,7,8,9,4,8,1,23.0
61,23,40,17,0,4,102494,91129,5,1,2,4,4,10,0,23.1
62,29,39,10,0,2,141338,80021,8,5,5,10,3,8,0,24.3
63,36,32,4,6,3,102163,99835,2,3,10,7,3,5,1,20.3
64,35,23,12,5,3,102744,27194,7,9,0,9,3,7,0,24.1
65,27,37,10,5,5,148676,93973,8,1,6,5,4,3,1,15.8
66,24,21,3,3,2,99461,84199,1,9,13,2,1,2,1,16.0
67,24,25,1,7,3,89676,66459,8,8,7,8,4,3,1,26.4
68,25,23,2,4,4,107096,115247,9,5,0,5,2,10,1,31.9
69,25,35,10,8,4,108472,55573,9,9,12,8,2,4,0,22.3
70,34,22,12,5,4,117937,62604,3,8,1,3,4,10,1,24.8
71,24,35,11,1,5,137780,14011,3,7,4,2,3,5,1,16.9
72,23,31,8,8,4,101010,94155,8,9,1,10,0,4,1,25.6
73,28,23,5,6,1,44347,70153,3,5,0,1,2,1,1,14.1
74,28,37,9,6,5,65200,34280,3,2,12,10,1,8,0,21.0
75,28,35,7,4,4,84932,99404,1,8,9,9,1,2,1,25.4
76,30,34,4,4,4,97199,38111,7,8,3,4,3,10,1,26.1
77,39,30,9,4,1,121758,47976,1,10,1,10,3,5,0,21.8
78,27,40,13,4,2,43470,94242,1,5,14,1,4,6,0,12.3
79,23,30,7,5,4,64042,38318,3,9,11,9,4,5,0,21.1
80,36,30,6,5,1,140770,21869,3,4,12,9,2,2,1,20.7
81,21,29,8,8,1,137219,60311,5,10,12,6,0,4,1,25.9
82,38,31,7,3,1,139704,103891,5,7,3,3,0,1,1,18.7
83,36,24,12,1,2,53563,62940,8,6,13,10,1,7,0,21.7
84,29,22,7,5,2,134230,70287,4,6,3,6,4,6,0,19.0
85,33,29,4,3,1,137201,24015,4,10,0,1,2,4,0,21.8
86,38,27,11,3,2,104129,113498,3,10,0,5,1,3,1,19.6
87,26,24,2,0,2,21895,58955,4,10,10,1,1,5,0,19.0
88,24,23,1,7,4,112906,79271,10,2,14,9,1,10,0,26.8
89,37,30,7,7,1,33945,74781,7,7,3,8,3,2,0,21.6
90,25,29,4,8,3,117851,90301,9,5,14,9,4,7,0,26.2
91,24,38,14,3,4,136372,128403,4,7,10,8,3,7,0,20.4
92,29,32,3,2,4,35598,23957,2,2,13,2,2,3,0,12.6
93,39,38,1,8,3,50042,65845,6,7,1,5,4,5,1,29.6
94,25,36,11,3,1,109780,122804,9,6,3,5,4,4,1,24.2
95,38,40,2,8,1,88109,15794,3,5,9,6,2,1,0,19.4
96,33,23,10,2,1,42053,109794,9,4,12,7,3,6,0,16.5
97,32,30,2,5,5,40270,127781,1,3,5,10,0,2,1,15.3
98,40,35,5,6,3,74510,110951,9,2,11,7,0,5,1,22.0
99,37,30,7,0,2,121615,90554,1,1,6,5,1,3,1,12.1
100,36,34,2,2,2,117669,81806,4,9,11,2,3,1,1,19.1
101,21,35,14,1,3,130534,87156,7,7,9,2,3,1,1,18.4
102,35,32,3,1,4,45751,43891,7,10,12,9,0,7,1,30.0
103,31,28,3,5,2,38022,78910,2,9,6,6,2,3,0,21.2
104,26,40,14,2,1,64437,113298,8,8,14,10,4,6,1,23.5
105,25,35,10,1,4,133922,94756,5,5,1,6,4,2,1,18.6
106,32,30,2,1,1,118789,72648,10,9,1,8,4,4,1,27.6
107,40,36,4,8,2,34219,71050,2,6,2,9,1,1,0,17.7
108,37,37,0,2,3,115740,49079,7,7,10,10,0,6,0,16.7
109,31,24,7,8,4,92487,45029,10,3,10,2,4,3,1,18.4
110,33,25,8,1,3,116744,96343,6,3,2,7,4,6,0,24.3
111,32,30,2,2,2,107583,112421,8,4,7,3,1,2,1,18.6
112,38,37,1,0,3,52353,90282,7,3,5,3,4,3,1,18.2
113,22,34,12,5,2,134444,92031,5,8,7,9,1,5,1,23.3
114,39,35,4,7,3,118105,77916,9,7,5,4,4,3,1,24.4
115,22,36,14,5,5,44893,105244,9,2,9,2,1,5,1,18.5
116,34,23,11,3,4,109641,15495,7,1,12,9,2,4,1,15.4
117,23,32,9,3,1,101541,24987,6,3,4,1,2,8,0,18.3
118,40,21,19,1,1,85088,40266,3,9,13,2,2,4,1,10.7
119,24,22,2,3,4,137829,20232,2,8,0,9,4,4,0,23.0
120,32,28,4,6,2,40443,80614,6,2,0,7,3,1,1,19.1
121,32,29,3,0,3,35710,57193,4,2,10,3,0,6,1,15.2
122,35,36,1,2,2,34541,105853,8,1,9,4,0,4,0,15.1
123,31,30,1,8,4,142098,45202,1,4,9,6,0,6,1,21.6
124,33,35,2,6,3,66973,77038,8,6,8,2,3,2,1,22.5
125,40,26,14,8,3,102203,25447,2,6,9,5,3,10,1,23.7
126,35,22,13,5,5,132017,47986,1,2,12,6,4,3,0,15.2
127,25,40,15,7,1,51090,20812,4,6,11,7,4,1,0,12.1
128,32,35,3,1,5,54095,81397,6,7,10,5,1,2,0,12.6
129,26,36,10,8,4,48870,46311,5,8,6,10,2,8,0,29.5
130,35,26,9,7,1,101778,99535,6,2,9,5,1,3,1,19.7
131,37,28,9,1,2,54405,43029,8,1,11,9,4,6,1,19.5
132,40,23,17,1,3,122375,105969,8,9,13,7,4,2,0,15.4
133,31,23,8,7,4,108312,28821,9,10,5,3,3,9,0,29.9
134,30,26,4,2,3,77105,57353,9,5,2,5,1,9,1,22.8
135,25,30,5,8,1,149746,96015,3,10,4,3,4,10,1,29.7
136,21,23,2,0,5,87377,97344,4,10,13,10,0,8,1,21.1
137,30,36,6,3,4,95970,71446,2,1,5,8,3,8,1,21.2
138,31,31,0,5,4,52279,111701,6,9,3,6,1,8,0,31.1
139,29,35,6,3,2,43378,18632,5,7,13,4,1,6,1,18.6
140,37,35,2,7,3,148382,15037,2,7,14,4,1,10,1,24.6
141,22,22,0,4,4,141361,49453,9,1,3,7,1,5,1,22.3
142,33,22,11,8,2,113033,84512,5,2,12,9,3,9,1,19.0
143,40,40,0,1,2,43344,63629,6,6,11,3,1,10,1,22.5
144,25,31,6,7,5,137796,31521,10,9,4,6,4,6,0,28.8
145,33,40,7,4,5,106178,78494,9,9,15,10,2,8,0,24.7
146,34,39,5,4,1,142410,46803,10,10,7,1,4,8,0,30.2
147,37,40,3,6,2,81490,16138,10,2,6,1,3,6,1,24.4
148,34,37,3,7,1,54197,79984,4,9,10,8,4,7,1,29.0
149,26,35,9,8,3,110874,100587,5,10,15,4,1,5,1,22.5
150,30,30,0,3,4,101110,74888,6,9,8,5,0,10,1,33.8
151,33,32,1,2,3,29027,49700,2,6,14,5,3,4,0,16.7
152,38,29,9,2,1,80726,43779,1,9,7,4,0,2,1,13.5
153,31,36,5,1,2,19358,84135,3,7,15,8,1,5,1,17.2
154,23,39,16,3,5,27777,34946,7,3,1,7,3,3,1,19.1
155,22,21,1,4,5,46128,55914,5,8,15,3,4,8,1,22.8
156,26,35,9,4,2,21692,108549,6,5,6,3,4,7,1,22.3
157,37,31,6,1,4,43004,36219,3,8,10,4,0,5,1,18.2
158,31,30,1,0,3,112254,102802,4,1,3,8,2,3,1,21.6
159,37,30,7,1,3,114349,92560,4,4,4,8,1,8,1,19.3
160,36,38,2,3,2,39461,80879,8,9,11,2,4,2,0,22.1
161,38,37,1,3,5,57282,33566,6,9,14,2,1,10,1,27.5
162,22,35,13,2,5,126901,71873,10,1,14,5,0,7,1,19.1
163,21,27,6,1,1,129069,57158,2,9,1,2,3,1,1,13.2
164,34,32,2,6,4,116958,61236,2,9,4,6,0,3,1,24.5
165,37,25,12,3,1,23959,51107,8,9,13,9,3,4,0,18.6
166,27,24,3,0,4,22101,43544,4,2,3,10,0,8,0,19.5
167,28,22,6,6,4,79430,82747,4,1,4,9,2,4,1,14.9
168,31,28,3,4,2,75945,66206,5,5,1,9,4,3,1,20.3
169,38,36,2,0,3,117917,114996,9,6,13,7,1,5,1,23.4
170,28,28,0,4,2,139379,19552,9,7,13,9,4,3,1,25.8
171,28,29,1,3,3,38727,70954,6,2,6,1,2,7,0,19.5
172,39,38,1,3,4,72759,125963,6,5,0,4,1,2,1,20.6
173,28,40,12,3,4,80739,84362,6,5,12,8,4,6,1,20.6
174,36,35,1,1,4,101947,38624,6,6,13,1,4,4,0,21.2
175,21,29,8,8,5,127465,50691,3,4,10,4,3,10,0,18.0
176,31,29,2,7,4,138803,34050,6,3,4,9,3,3,0,21.9
177,37,22,15,1,1,19673,66053,3,4,2,3,0,4,1,10.8
178,40,36,4,7,1,19733,81758,9,7,0,1,4,5,1,28.4
179,21,37,16,6,2,46053,24624,9,3,7,4,4,9,1,22.3
180,33,23,10,5,4,138323,86055,4,4,9,2,0,2,1,12.4
181,33,33,0,8,4,32710,95459,1,3,2,8,3,6,0,26.8
182,28,27,1,7,3,30205,21744,5,9,1,3,2,1,0,16.9
183,39,25,14,6,1,96453,33292,10,4,12,9,2,7,0,22.4
184,23,37,14,5,1,43607,69290,4,2,10,10,4,10,1,16.8
185,31,21,10,4,4,146608,41902,6,9,12,7,1,10,1,28.0
186,28,23,5,1,3,58428,61807,3,7,10,6,0,2,0,16.1
187,30,35,5,5,3,44799,29367,2,3,13,8,4,9,1,20.8
188,38,23,15,5,4,21235,50253,7,7,2,9,1,10,0,26.5
189,33,26,7,2,3,96939,47180,8,3,2,3,3,5,1,18.9
190,32,29,3,3,4,69261,72012,2,3,9,1,3,6,1,20.7
191,31,35,4,5,4,53684,51378,6,10,6,8,2,3,1,26.5
192,36,39,3,3,3,116580,48739,7,6,3,10,1,10,0,28.1
193,38,21,17,7,2,132938,116554,5,2,13,8,1,5,0,15.4
194,34,33,1,1,4,143628,88315,7,9,13,9,0,6,0,25.4
195,24,28,4,5,2,29612,85822,7,6,13,2,0,2,1,16.3
196,38,39,1,3,4,116073,63266,8,10,4,6,0,8,0,33.2
197,30,34,4,1,1,55139,57656,5,6,14,4,4,8,1,17.1
198,35,31,4,1,3,29713,118192,2,1,10,2,1,4,0,12.1
199,38,26,12,5,5,129770,72562,4,7,5,3,3,7,0,21.7
200,35,39,4,6,4,19166,104371,4,4,8,2,4,2,0,12.0
201,32,31,1,3,4,47872,46387,8,9,10,10,3,10,1,27.7
202,35,40,5,2,3,40217,100094,3,6,3,4,2,2,0,16.4
203,32,25,7,8,4,127638,90174,3,10,12,7,1,8,0,21.6
204,25,26,1,5,4,32053,125445,6,1,15,3,1,7,1,16.2
205,34,36,2,6,4,146109,33922,2,10,0,4,2,1,1,23.0
206,35,39,4,7,5,47677,87066,2,5,11,9,0,8,0,24.2
207,34,24,10,3,3,26449,70947,5,6,2,8,0,4,0,20.4
208,32,40,8,6,2,54499,114871,4,4,1,10,2,9,1,22.9
209,40,38,2,2,3,94712,49923,10,5,3,3,3,1,1,22.4
210,25,28,3,2,3,82894,111807,7,8,4,10,2,7,1,25.8
211,35,23,12,1,4,90935,103056,6,8,15,6,4,1,0,15.5
212,32,23,9,8,4,75102,68314,4,8,8,6,2,6,0,19.5
213,39,36,3,5,1,30043,25051,8,1,3,3,3,8,0,24.0
214,25,30,5,2,3,42468,97798,6,5,2,6,1,1,1,17.8
215,30,28,2,6,1,42951,12142,4,8,2,3,4,4,1,25.3
216,24,34,10,2,4,36567,42008,7,2,3,2,2,6,1,18.0
217,25,33,8,2,2,35933,81534,10,1,5,8,2,4,0,21.5
218,35,27,8,1,1,54703,110624,2,10,12,6,3,6,0,17.4
219,28,29,1,1,2,92690,114101,1,5,6,9,4,9,0,22.3
220,22,28,6,7,4,47555,43599,8,10,2,9,0,6,1,25.7
221,25,33,8,6,3,63290,111972,8,2,0,10,0,1,1,21.1
222,33,37,4,4,5,126903,67518,7,2,4,5,0,5,0,26.0
223,37,27,10,2,5,103655,63213,10,2,9,7,1,1,0,18.6
224,35,40,5,0,3,64044,27655,1,3,0,3,3,6,1,19.2
225,26,32,6,2,3,48947,113112,1,6,13,5,4,2,1,13.6
226,23,36,13,7,5,112404,19266,8,10,5,6,1,5,0,21.6
227,39,24,15,3,5,18673,17772,1,4,1,8,2,7,0,20.3
228,22,38,16,6,2,102358,44540,7,6,8,2,4,6,0,25.2
229,37,22,15,2,2,30039,64550,2,8,9,5,2,2,1,15.6
230,39,30,9,3,4,114540,89554,8,4,7,3,0,7,0,20.7
231,28,38,10,5,1,105822,12191,7,5,3,4,4,4,1,19.8
232,25,29,4,1,1,78679,129609,9,7,11,8,0,10,0,24.6
233,37,25,12,6,1,34327,69014,3,4,9,5,2,7,1,16.8
234,23,27,4,2,5,46566,32369,2,3,14,8,2,7,0,17.6
235,38,32,6,3,4,98821,72731,5,2,2,3,2,10,0,23.5
236,25,23,2,3,3,121873,79300,1,5,8,3,0,7,1,22.5
237,38,38,0,3,1,139121,25357,3,2,0,1,1,3,0,17.3
238,23,39,16,4,1,23714,20450,4,8,4,2,2,2,0,12.1
239,35,22,13,2,5,131549,119699,7,8,0,7,3,3,1,23.7
240,29,35,6,2,1,82431,96840,5,8,13,9,3,1,0,19.0
241,29,33,4,2,4,70286,96233,9,4,0,7,2,8,1,24.8
242,31,33,2,4,2,24832,53795,10,4,0,5,0,8,1,28.1
243,39,28,11,2,1,82974,98096,4,5,1,4,4,7,1,28.3
244,26,26,0,3,5,101362,117671,6,10,0,6,4,10,0,28.2
245,39,27,12,7,5,99016,35010,8,1,2,1,1,10,0,25.2
246,31,40,9,3,2,107327,105970,3,6,1,1,1,10,0,22.7
247,24,37,13,5,1,115934,104345,7,10,3,6,2,6,0,28.7
248,34,36,2,5,2,111539,41260,10,3,12,5,2,3,0,18.7
249,21,39,18,6,5,26488,35865,10,6,7,10,0,8,0,23.3
250,32,31,1,2,1,106014,70540,1,5,6,4,0,6,1,18.6
251,24,21,3,0,4,132876,108021,7,3,13,8,3,6,1,21.9
252,39,28,11,2,4,37322,116752,1,5,0,6,2,2,0,17.9
253,31,26,5,6,2,37661,83702,2,6,15,1,3,3,1,14.9
254,27,27,0,6,5,87537,98585,5,5,7,2,0,7,1,23.0
255,25,22,3,5,1,130094,23485,5,10,15,4,0,1,0,17.0
256,23,36,13,1,3,122193,73727,8,5,2,9,3,3,1,22.8
257,33,32,1,2,4,29696,46510,8,8,8,4,2,10,0,28.3
258,24,23,1,5,5,126524,111150,10,4,1,7,4,7,1,31.6
259,39,28,11,7,3,38697,63747,1,9,4,2,3,3,0,22.8
260,25,22,3,6,1,132135,38465,3,10,8,6,0,2,1,18.6
261,38,33,5,8,3,90404,80116,8,1,13,2,3,3,0,13.8
262,24,24,0,1,3,108143,127067,7,5,12,8,4,10,1,23.8
263,22,26,4,4,4,55710,93034,10,7,1,7,2,4,0,24.9
264,32,21,11,5,3,99513,48745,8,2,7,3,2,8,1,14.4
265,29,34,5,1,2,133793,39707,7,8,11,1,4,3,0,17.1
266,25,37,12,0,2,68531,126711,4,1,7,1,3,1,1,13.0
267,27,29,2,5,4,122056,95284,2,1,7,6,3,10,1,23.9
268,39,38,1,5,3,60864,121792,5,2,9,1,3,1,0,19.8
269,39,27,12,3,2,72193,47269,7,9,0,1,3,3,0,20.3
270,29,40,11,4,3,129098,129372,7,6,14,5,1,8,1,21.5
271,37,40,3,6,5,44820,12963,9,6,9,5,0,8,0,23.8
272,31,29,2,4,3,67377,31651,9,4,1,10,3,6,0,27.4
273,21,36,15,4,3,127724,65031,7,1,6,6,1,9,1,23.1
274,37,30,7,2,5,65483,50506,2,8,4,5,4,3,1,17.9
275,23,28,5,5,2,98500,67112,6,6,8,10,2,8,0,19.1
276,39,39,0,1,4,68998,77598,2,7,9,7,0,3,0,19.3
277,27,31,4,6,5,137949,30772,6,3,2,8,2,3,1,21.6
278,29,27,2,2,5,59532,76169,2,3,13,7,3,7,1,17.9
279,33,21,12,0,5,70275,107768,6,1,10,9,1,1,0,10.9
280,32,30,2,2,1,118545,77973,10,5,5,2,0,5,1,20.0
281,35,37,2,8,3,131682,128388,3,6,15,6,1,3,1,21.0
282,25,27,2,0,5,62298,28143,6,1,12,5,4,10,0,19.4
283,40,22,18,1,1,30644,102406,2,7,14,7,0,9,1,15.1
284,21,30,9,6,1,88772,93631,10,3,13,2,4,10,0,21.9
285,30,24,6,1,4,70074,91823,4,5,6,6,3,5,0,21.5
286,27,36,9,5,2,18717,13671,2,2,15,3,0,9,0,13.5
287,24,29,5,3,4,95600,46619,8,1,3,3,0,5,1,19.0
288,24,24,0,0,1,54279,98947,3,6,11,8,4,5,0,16.0
289,32,31,1,2,1,123061,64461,8,5,12,8,3,3,0,22.3
290,26,24,2,6,5,144530,117154,10,8,5,10,3,6,0,32.5
291,25,36,11,7,1,125815,69761,1,2,8,6,0,9,0,21.0
292,31,37,6,8,5,42967,68734,4,8,11,7,1,9,0,24.5
293,21,26,5,8,4,147980,125956,3,2,15,6,1,6,1,19.0
294,33,33,0,3,1,138348,70220,10,8,2,8,3,6,0,29.1
295,36,21,15,1,4,126092,16696,9,9,0,2,4,10,1,29.7
296,35,31,4,5,1,76436,122666,8,6,15,6,3,2,0,16.6
297,28,21,7,5,3,94541,83786,9,6,3,1,1,8,0,25.3
298,34,24,10,4,5,69359,36581,2,7,6,8,1,6,0,16.2
299,34,22,12,1,4,137901,98305,10,9,4,8,0,9,0,24.6
300,39,36,3,8,2,63521,107747,3,2,12,10,4,6,1,20.5
301,34,40,6,3,3,122299,56939,5,8,4,3,3,10,1,28.5
302,31,38,7,3,2,72974,93810,5,6,4,3,4,9,1,21.5
303,24,32,8,8,4,127439,100374,9,5,13,1,4,2,0,17.8
304,22,27,5,4,2,93134,101573,5,3,1,5,1,9,0,22.5
305,32,35,3,1,5,76800,109309,9,7,7,9,2,1,1,17.8
306,31,38,7,0,1,83887,38619,10,8,7,6,4,9,0,30.2
307,27,30,3,7,2,37521,36507,3,9,3,7,0,7,1,23.1
308,39,29,10,0,3,140245,105020,3,1,4,6,4,1,1,13.5
309,36,39,3,8,3,37105,114764,6,9,7,3,4,2,0,20.4
310,23,32,9,3,2,105001,55393,6,5,6,10,4,8,0,24.9
311,24,32,8,7,2,81917,17226,6,7,3,7,2,9,1,29.1
312,32,37,5,8,4,145612,17747,5,4,10,9,0,2,0,19.2
313,38,38,0,0,1,73255,99862,4,7,3,4,4,7,0,23.3
314,35,31,4,0,1,37201,19113,3,5,2,10,1,5,1,17.7
315,33,35,2,6,4,100943,14213,7,2,0,10,0,10,0,26.8
316,37,24,13,4,3,40676,48899,8,7,12,1,3,3,0,15.4
317,25,33,8,8,3,55768,51066,6,1,4,2,0,1,1,8.5
318,30,27,3,5,2,126174,96663,9,3,5,3,1,10,1,23.6
319,27,24,3,2,5,32257,123593,9,8,2,5,0,5,0,25.2
320,31,32,1,2,2,44226,49373,10,2,6,6,3,8,1,26.6
321,40,30,10,2,5,113549,117866,6,7,5,1,2,4,0,18.9
322,29,32,3,2,3,143817,72666,8,6,9,8,4,2,0,17.4
323,40,23,17,4,2,69493,46502,2,2,0,9,0,10,1,20.2
324,22,38,16,4,5,141759,97709,3,6,12,4,4,5,0,15.2
325,35,37,2,8,1,122014,59692,9,1,7,10,1,9,0,24.3
326,39,25,14,7,3,28595,40681,8,4,2,5,2,4,0,20.2
327,27,37,10,5,4,141122,71591,1,1,10,2,4,5,1,11.5
328,33,33,0,5,5,38404,79720,5,7,7,9,3,6,1,24.3
329,36,36,0,0,5,54429,69658,3,4,2,9,2,4,0,21.4
330,24,28,4,6,3,47711,75113,8,8,6,10,1,7,0,28.6
331,28,22,6,2,5,60239,29658,9,1,4,1,1,5,0,14.1
332,39,21,18,4,1,74778,70877,10,8,15,3,1,7,0,18.9
333,39,26,13,8,3,61967,106920,6,8,2,4,3,7,0,26.4
334,37,34,3,2,5,43244,35255,8,10,1,9,4,2,0,27.1
335,36,25,11,8,1,131114,80425,7,6,1,9,3,4,1,25.2
336,39,39,0,1,4,53096,45360,8,4,2,5,4,9,1,24.6
337,29,27,2,0,1,48888,80126,1,7,6,6,3,6,0,20.5
338,29,29,0,8,4,113851,92200,5,7,6,7,4,9,1,32.0
339,26,32,6,8,5,144814,45263,5,10,11,7,1,2,0,18.0
340,26,24,2,3,5,123004,115033,6,9,1,3,3,1,0,23.0
341,25,36,11,6,1,34798,46483,4,6,2,10,0,7,1,20.0
342,40,22,18,2,4,133073,13403,4,9,9,4,0,10,0,18.7
343,40,26,14,0,3,80719,97854,1,3,2,5,3,6,1,15.0
344,21,23,2,1,5,92578,107176,9,10,11,6,2,4,0,24.2
345,35,33,2,0,3,63884,65363,9,2,2,9,2,6,0,24.8
346,38,39,1,4,4,116849,85815,8,4,10,8,3,10,0,21.3
347,36,24,12,4,1,118315,95055,4,4,10,7,2,9,0,18.9
348,30,23,7,6,3,37930,84686,3,8,10,6,1,10,1,21.6
349,26,27,1,7,2,79567,108394,4,5,6,4,1,4,1,20.4
350,23,36,13,0,5,29079,123150,8,6,10,8,4,5,1,21.8
351,26,37,11,4,4,76220,110326,10,3,1,9,3,8,0,23.6
352,26,35,9,1,5,138604,53373,1,1,6,7,4,2,1,13.8
353,32,40,8,4,2,86904,43082,5,8,10,6,1,8,1,24.0
354,32,32,0,6,3,136155,35578,10,3,7,2,2,4,1,25.6
355,33,27,6,2,2,141990,117600,1,3,13,8,1,9,1,18.5
356,38,39,1,0,4,43945,102510,3,1,6,5,3,2,1,13.4
357,31,29,2,5,3,85558,57107,1,7,3,6,4,4,0,22.9
358,31,37,6,7,4,38554,61947,10,5,14,3,1,6,1,21.4
359,40,39,1,6,1,38738,33233,6,4,10,6,2,5,1,20.3
360,32,39,7,8,4,126524,33930,3,1,4,4,2,2,0,18.7
361,26,33,7,1,1,34722,127171,8,9,1,1,3,9,0,28.1
362,23,33,10,4,2,82853,108677,5,8,4,3,4,3,0,21.6
363,22,32,10,5,4,140471,126150,9,5,14,3,4,3,1,16.4
364,39,34,5,8,5,99175,57504,8,9,7,2,3,5,1,23.8
365,34,29,5,2,3,20767,12012,9,3,11,5,3,9,0,19.1
366,36,30,6,0,4,94787,90250,4,1,11,4,3,9,1,15.4
367,33,28,5,2,4,117184,40913,5,2,13,4,4,10,1,19.4
368,29,34,5,3,1,65816,29907,5,2,14,10,3,5,1,21.0
369,27,31,4,0,2,31010,82119,1,3,3,5,2,3,1,14.0
370,25,21,4,7,2,107630,67082,5,8,11,8,0,6,0,20.1
371,25,22,3,4,4,36713,83197,8,3,6,5,3,1,0,21.2
372,33,35,2,3,1,70213,72402,2,9,6,8,3,5,1,22.1
373,26,22,4,8,5,50018,45202,8,5,6,6,0,4,0,21.6
374,21,26,5,4,5,49365,63879,4,1,1,10,3,10,0,26.2
375,32,23,9,3,2,149050,23980,10,6,1,1,2,3,0,21.3
376,38,32,6,7,2,23597,102341,7,6,4,5,0,8,1,26.4
377,38,30,8,8,4,67748,86278,3,9,11,6,3,5,0,23.5
378,30,29,1,8,3,137034,12094,9,7,5,1,4,6,0,26.3
379,31,23,8,8,4,67773,80690,8,9,4,10,2,6,1,27.6
380,37,23,14,0,2,64829,126490,1,4,3,8,1,2,0,12.0
381,39,33,6,7,5,85092,18433,6,4,2,1,1,8,0,19.5
382,32,38,6,6,3,33283,119956,10,5,1,2,2,2,0,22.4
